gene	mean_BF	sum_BF	max_BF	n_snps	rank_BF	n	GeneScore
ANXA2	-11.2439707293333	-168.65956094	4.04570588	15	26	254	0.102362204724409
ANXA4	-9.58868326	-38.35473304	0.80059496	4	49	933	0.052518756698821
ANXA5	-12.649967834	-189.74951751	-7.02465351	15	131	254	0.515748031496063
ANXA7	-13.051776	-78.310656	-13.051776	6	278	738	0.376693766937669
AOAH	-13.051776	-548.174592	-13.051776	42	32	32	1
AOPEP	-12.4037042116304	-1141.14078747	12.42307528	92	1	9	0.111111111111111
AOX1	-11.88507887375	-285.24189297	1.47886315	24	30	127	0.236220472440945
AP1AR	-13.051776	-143.569536	-13.051776	11	234	408	0.573529411764706
AP1B1	-13.051776	-65.25888	-13.051776	5	291	817	0.356181150550796
AP1G1	-13.051776	-26.103552	-13.051776	2	215	1311	0.163996948893974
AP1S2	-8.296065937	-82.96065937	4.55126961	10	43	477	0.090146750524109
AP1S3	-10.9042690788235	-185.37257434	9.63633026	17	8	218	0.036697247706422
AP2A2	-2.71363388041667	-65.12721313	13.96284473	24	5	127	0.0393700787401575
AP2B1	-12.7336649232353	-432.94460739	-2.23599939	34	47	82	0.573170731707317
AP2M1	-10.4052803533333	-62.43168212	2.82719788	6	48	738	0.0650406504065041
AP3B1	-12.4644388983333	-822.65296729	2.33530598	66	11	17	0.647058823529412
AP3D1	-11.6007002943333	-348.02100883	9.63633026	30	11	76	0.144736842105263
AP3M1	-13.051776	-130.51776	-13.051776	10	260	477	0.545073375262054
AP3M2	-13.051776	-52.207104	-13.051776	4	261	933	0.279742765273312
AP3S1	-12.618865505	-227.13957909	-5.25938709	18	105	205	0.51219512195122
AP4B1	-13.051776	-26.103552	-13.051776	2	216	1311	0.164759725400458
AP4E1	-11.1786391261905	-234.75142165	3.67468467	21	25	160	0.15625
AP4S1	-13.051776	-52.207104	-13.051776	4	262	933	0.280814576634512
AP5M1	-13.051776	-13.051776	-13.051776	1	166	1564	0.10613810741688
AP5S1	-13.051776	-13.051776	-13.051776	1	167	1564	0.106777493606138
AP5Z1	-8.31697935333333	-24.95093806	1.15261394	3	56	1069	0.0523854069223573
APAF1	-13.051776	-300.190848	-13.051776	23	97	128	0.7578125
APBA1	-7.21473899857143	-50.50317299	16.31786715	7	5	621	0.00805152979066022
APBA2	-10.2651946052632	-195.0386975	15.1851394	19	1	170	0.00588235294117647
APBB1IP	-12.01242846	-264.27342612	-4.00564152	22	70	160	0.4375
APBB2	-10.5073251122619	-882.61530943	11.73886714	84	3	13	0.230769230769231
APC	-11.9182058279545	-524.40105643	4.38886118	44	11	38	0.289473684210526
APCDD1	-13.051776	-156.621312	-13.051776	12	192	320	0.6
APCDD1L	-8.04323329	-32.17293316	6.98239484	4	14	933	0.015005359056806
APELA	-9.73837893111111	-87.64541038	10.74167513	9	11	439	0.0250569476082005
API5	-11.7533146964706	-199.80634984	-3.03217882	17	87	218	0.399082568807339
APIP	-11.539838321	-115.39838321	2.06760079	10	62	477	0.129979035639413
APLF	-12.099819624	-604.9909812	3.86396619	50	7	32	0.21875
APLP2	-13.051776	-326.2944	-13.051776	25	113	131	0.862595419847328
APMAP	-11.07679959	-155.07519426	5.55175926	14	21	291	0.0721649484536082
APOB	-12.2014139270588	-414.84807352	3.27071798	34	22	82	0.268292682926829
APOBEC2	-13.051776	-26.103552	-13.051776	2	217	1311	0.165522501906941
APOBEC4	-13.051776	-13.051776	-13.051776	1	168	1564	0.107416879795396
APOD	-13.051776	-78.310656	-13.051776	6	279	738	0.378048780487805
APOH	-13.051776	-65.25888	-13.051776	5	292	817	0.357405140758874
APOLD1	-13.051776	-26.103552	-13.051776	2	218	1311	0.166285278413425
APOO	-12.532283406	-187.98425109	-5.25938709	15	110	254	0.433070866141732
APOOL	-13.051776	-13.051776	-13.051776	1	169	1564	0.108056265984655
APP	-11.7221103469136	-1898.9818762	4.85984715	150	60	97	0.618556701030928
APPBP2	-13.051776	-104.414208	-13.051776	8	241	534	0.451310861423221
APPL1	-13.051776	-91.362432	-13.051776	7	267	621	0.429951690821256
APPL2	-12.4951514346875	-399.84484591	-3.03217882	32	52	97	0.536082474226804
APTX	-12.5038557736364	-137.54241351	-7.02465351	11	169	408	0.41421568627451
AQP1	-12.8285492411111	-346.37082951	-7.02465351	27	73	111	0.657657657657658
AQP10	-13.051776	-13.051776	-13.051776	1	170	1564	0.108695652173913
AQP11	-13.051776	-91.362432	-13.051776	7	268	621	0.431561996779388
AQP4	-11.6889975364286	-163.64596551	0	14	57	291	0.195876288659794
AQP5	-13.051776	-13.051776	-13.051776	1	171	1564	0.109335038363171
AQP8	-13.051776	-13.051776	-13.051776	1	172	1564	0.10997442455243
AQP9	-13.051776	-169.673088	-13.051776	13	198	316	0.626582278481013
AQR	-12.8634284221875	-411.62970951	-7.02465351	32	76	97	0.783505154639175
AR	-12.7149156471154	-661.17561365	-1.56216014	52	25	32	0.78125
ARAP1	-13.051776	-91.362432	-13.051776	7	269	621	0.43317230273752
ARAP2	-12.2099802955844	-940.16848276	4.55126961	77	7	19	0.368421052631579
ARAP3	-10.5338127	-52.6690635	-0.4619595	5	67	817	0.0820073439412485
ARC	-13.051776	-39.155328	-13.051776	3	237	1069	0.221702525724977
ARCN1	-13.051776	-13.051776	-13.051776	1	173	1564	0.110613810741688
AREG	-13.051776	-117.465984	-13.051776	9	217	439	0.494305239179954
AREL1	-11.047856564	-55.23928282	-3.03217882	5	96	817	0.11750305997552
ARF1	-13.051776	-78.310656	-13.051776	6	280	738	0.37940379403794
ARF4	-11.3818431366667	-68.29105882	-3.03217882	6	126	738	0.170731707317073
ARF6	-13.051776	-13.051776	-13.051776	1	174	1564	0.111253196930946
ARFGAP1	-12.4236163909091	-273.3195606	-5.25938709	22	84	160	0.525
ARFGAP2	-13.051776	-78.310656	-13.051776	6	281	738	0.380758807588076
ARFGAP3	-13.051776	-104.414208	-13.051776	8	242	534	0.453183520599251
ARFGEF1	-12.9460370089474	-737.92410951	-7.02465351	57	21	22	0.954545454545455
ARFGEF2	-11.919431255	-214.54976259	-0.4619595	18	60	205	0.292682926829268
ARFGEF3	-12.2682091398113	-650.21508441	6.15423953	53	3	19	0.157894736842105
ARFIP1	-12.8285492411111	-346.37082951	-7.02465351	27	74	111	0.666666666666667
ARFIP2	-13.051776	-13.051776	-13.051776	1	175	1564	0.111892583120205
ARFRP1	-8.09446622625	-64.75572981	6.37518976	8	19	534	0.0355805243445693
ARG2	-13.051776	-52.207104	-13.051776	4	263	933	0.281886387995713
ARGLU1	-13.051776	-52.207104	-13.051776	4	264	933	0.282958199356913
ARHGAP1	-11.3818431366667	-68.29105882	-3.03217882	6	127	738	0.172086720867209
ARHGAP10	-12.2716898022667	-920.37673517	3.86396619	75	5	16	0.3125
ARHGAP12	-13.051776	-352.397952	-13.051776	27	92	111	0.828828828828829
ARHGAP15	-12.3911252277711	-2056.92678781	7.68851227	150	39	97	0.402061855670103
ARHGAP17	-13.051776	-300.190848	-13.051776	23	98	128	0.765625
ARHGAP18	-12.8040863073529	-870.6778689	-2.23599939	68	9	12	0.75
ARHGAP19	-13.051776	-130.51776	-13.051776	10	261	477	0.547169811320755
ARHGAP20	-10.77177945	-463.18651635	7.16881594	43	8	49	0.163265306122449
ARHGAP21	-12.4836415972603	-911.3058366	-2.23599939	73	20	22	0.909090909090909
ARHGAP22	-12.0657162378481	-953.19158279	6.58629979	79	3	13	0.230769230769231
ARHGAP24	-12.1402328250365	-1663.21189703	3.67468467	100	132	209	0.631578947368421
ARHGAP26	-12.5134453939286	-350.37647103	-4.00564152	28	60	113	0.530973451327434
ARHGAP28	-12.6034300023529	-642.77493012	-4.00564152	51	24	32	0.75
ARHGAP29	-12.1655379268421	-231.14522061	-4.00564152	19	81	170	0.476470588235294
ARHGAP31	-12.5035254254545	-412.61633904	-4.00564152	33	56	84	0.666666666666667
ARHGAP32	-12.1623261227692	-1581.10239596	12.85097341	100	25	209	0.119617224880383
ARHGAP36	-13.051776	-13.051776	-13.051776	1	176	1564	0.112531969309463
ARHGAP39	-13.051776	-91.362432	-13.051776	7	270	621	0.434782608695652
ARHGAP40	-12.4236163909091	-273.3195606	-5.25938709	22	85	160	0.53125
ARHGAP42	-11.6386030148315	-1035.83566832	6.78844652	89	6	9	0.666666666666667
ARHGAP45	-13.051776	-52.207104	-13.051776	4	265	933	0.284030010718114
ARHGAP5	-12.0783480284615	-314.03704874	-1.56216014	26	41	110	0.372727272727273
ARHGAP6	-11.8859966170388	-2448.51530311	13.25220651	200	6	74	0.0810810810810811
ARHGAP8	-12.1907585014286	-85.33530951	-7.02465351	7	185	621	0.297906602254428
ARHGDIB	-10.038214755	-20.07642951	-7.02465351	2	129	1311	0.0983981693363844
ARHGEF10	-12.6140002211111	-1021.73401791	-0.4619595	81	9	13	0.692307692307692
ARHGEF12	-13.051776	-391.55328	-13.051776	30	68	76	0.894736842105263
ARHGEF16	-13.051776	-39.155328	-13.051776	3	238	1069	0.222637979420019
ARHGEF17	-13.051776	-65.25888	-13.051776	5	293	817	0.358629130966952
ARHGEF18	-12.2773418221739	-282.37886191	-3.03217882	23	58	128	0.453125
ARHGEF2	-13.051776	-13.051776	-13.051776	1	177	1564	0.113171355498721
ARHGEF26	-13.051776	-143.569536	-13.051776	11	235	408	0.575980392156863
ARHGEF28	-11.5145999291525	-679.36139582	9.22998876	59	3	21	0.142857142857143
ARHGEF3	-12.366261897619	-779.07449955	0	63	10	15	0.666666666666667
ARHGEF33	-12.6212672507143	-176.69774151	-7.02465351	14	131	291	0.450171821305842
ARHGEF37	-13.051776	-13.051776	-13.051776	1	178	1564	0.11381074168798
ARHGEF38	-8.57329293875	-68.58634351	5.67860661	8	22	534	0.0411985018726592
ARHGEF39	-13.051776	-52.207104	-13.051776	4	266	933	0.285101822079314
ARHGEF4	-11.8743313039416	-1626.78338864	13.48762859	100	22	209	0.105263157894737
ARHGEF5	-13.051776	-26.103552	-13.051776	2	219	1311	0.167048054919908
ARHGEF6	-13.051776	-78.310656	-13.051776	6	282	738	0.382113821138211
ARHGEF7	-12.4837911116667	-674.12472003	-0.4619595	54	15	30	0.5
ARHGEF9	-12.6750051395833	-912.60037005	-4.00564152	72	22	26	0.846153846153846
ARID1A	-13.051776	-39.155328	-13.051776	3	239	1069	0.223573433115061
ARID1B	-12.6398073256716	-1693.73418164	0	100	176	209	0.842105263157895
ARID2	-8.75614020730769	-227.65964539	13.22219295	26	2	110	0.0181818181818182
ARID3B	-13.051776	-26.103552	-13.051776	2	220	1311	0.167810831426392
ARID3C	-5.634436885	-11.26887377	1.78290223	2	33	1311	0.0251716247139588
ARID4A	-12.7036058224242	-419.21899214	-1.56216014	33	43	84	0.511904761904762
ARID4B	-12.2056868432308	-793.36964481	6.03976414	65	5	20	0.25
ARID5B	-12.4164976225	-446.99391441	-2.23599939	36	36	62	0.580645161290323
ARIH1	-12.0466499466667	-108.41984952	-4.00564152	9	121	439	0.275626423690205
ARIH2	-13.051776	-91.362432	-13.051776	7	271	621	0.436392914653784
ARL1	-13.051776	-65.25888	-13.051776	5	294	817	0.359853121175031
ARL11	-11.1036787725	-44.41471509	-5.25938709	4	144	933	0.154340836012862
ARL13A	-13.051776	-26.103552	-13.051776	2	221	1311	0.168573607932876
ARL13B	-12.7647701671429	-268.06017351	-7.02465351	21	105	160	0.65625
ARL14	-11.04273517	-33.12820551	-7.02465351	3	157	1069	0.146866230121609
ARL14EP	-12.3820957233333	-111.43886151	-7.02465351	9	164	439	0.373576309794989
ARL14EPL	-13.051776	-39.155328	-13.051776	3	240	1069	0.224508886810103
ARL15	-12.1778309537662	-937.69298344	3.86396619	77	9	19	0.473684210526316
ARL2BP	-13.051776	-39.155328	-13.051776	3	241	1069	0.225444340505145
ARL3	-11.047856564	-55.23928282	-3.03217882	5	97	817	0.118727050183599
ARL4A	-8.52870876	-17.05741752	-4.00564152	2	81	1311	0.0617848970251716
ARL5A	-13.051776	-104.414208	-13.051776	8	243	534	0.455056179775281
ARL5B	-11.7536821665	-235.07364333	3.86396619	20	31	183	0.169398907103825
ARL6	-13.051776	-91.362432	-13.051776	7	272	621	0.438003220611916
ARL6IP1	-13.051776	-52.207104	-13.051776	4	267	933	0.286173633440514
